Age,Gender,Region,Q1 Answer,Response Count
18-24,female,US-CA,Job Satisfaction,1
18-24,female,US-NY,Employee Benefits,1
18-24,male,US-FL,Employee Benefits,1
18-24,male,US-CO,Employee Benefits,1
18-24,female,US-IL,Employee Benefits,1
18-24,male,US-WI,Job Satisfaction,1
18-24,male,US-PA,Working from home,1
18-24,male,US-IL,Employee Benefits,1
18-24,female,US-FL,Work environment,1
18-24,male,US-NJ,Working from home,1
18-24,female,US-CA,Employee Benefits,1
18-24,female,,Working from home,1
18-24,male,US-CA,Work Location,1
18-24,female,US-NY,Job Satisfaction,1
18-24,female,US-TX,Work Location,1
18-24,male,US-CA,Employee Benefits,1
18-24,male,US-UT,Working from home,1
18-24,male,US-VT,Working from home,1
18-24,male,,Work environment,1
18-24,male,US-NY,Working from home,1
18-24,male,US-CA,Job Satisfaction,1
18-24,male,US-OR,Employee Benefits,1
18-24,male,US-VA,Employee Benefits,1
18-24,female,US-FL,Work Location,1
18-24,female,US-FL,Working from home,1
18-24,male,US-WA,Employee Benefits,1
18-24,male,,Employee Benefits,1
18-24,male,US-PA,Job Satisfaction,1
18-24,female,US-AZ,Work environment,1
25-34,male,US-MD,Working from home,1
25-34,female,US-CO,Job Satisfaction,1
25-34,female,US-NY,Working from home,1
25-34,male,US-CA,Work environment,2
25-34,male,,Working from home,1
25-34,female,US-AZ,Job Satisfaction,1
25-34,male,US-NY,Working from home,2
25-34,female,US-NJ,Working from home,1
25-34,female,,Working from home,1
25-34,female,US-NV,Working from home,1
25-34,male,US-NV,Employee Benefits,1
25-34,male,US-MN,Job Satisfaction,1
25-34,female,US-WA,Work environment,1
25-34,female,US-MA,Work environment,1
25-34,female,US-MN,Work environment,1
25-34,female,US-AZ,Employee Benefits,1
25-34,female,US-UT,Working from home,1
25-34,female,US-FL,Working from home,1
35-44,male,US-HI,Work environment,1
35-44,female,US-SC,Job Satisfaction,1
35-44,female,US-NJ,Work environment,1
35-44,male,US-GA,Job Satisfaction,1
35-44,female,US-IL,Work environment,1
35-44,female,US-NY,Work environment,1
35-44,male,US-VA,Work environment,1
35-44,male,,Working from home,1
35-44,male,US-MT,Work Location,1
35-44,male,US-WA,Employee Benefits,1
35-44,male,US-KY,Employee Benefits,1
35-44,female,US-MI,Working from home,1
35-44,male,US-MO,Job Satisfaction,1
35-44,female,US-CA,Work environment,1
35-44,male,US-MA,Employee Benefits,1
35-44,male,US-FL,Job Satisfaction,1
35-44,female,US-VA,Working from home,1
35-44,female,US-FL,Work Location,1
35-44,female,US-TN,Employee Benefits,1
35-44,female,US-ID,Working from home,1
35-44,male,US-TX,Working from home,1
35-44,male,US-FL,Employee Benefits,2
35-44,male,US-WA,Working from home,1
35-44,male,US-PA,Work Location,1
35-44,female,US-MN,Working from home,1
35-44,male,,Employee Benefits,1
35-44,female,US-UT,Job Satisfaction,1
35-44,male,US-CA,Working from home,1
45-54,male,US-AL,Job Satisfaction,1
45-54,female,US-WI,Job Satisfaction,1
45-54,female,US-VA,Work environment,1
45-54,female,US-MN,Working from home,1
45-54,female,,Job Satisfaction,1
45-54,female,US-MT,Job Satisfaction,1
45-54,female,US-AL,Employee Benefits,1
45-54,male,US-OH,Work environment,1
45-54,female,US-IA,Job Satisfaction,1
45-54,female,US-NY,Work environment,1
45-54,female,US-OR,Working from home,1
45-54,male,US-GA,Employee Benefits,1
45-54,female,US-TX,Employee Benefits,1
45-54,female,US-AR,Employee Benefits,1
